[09:31:23:358521] STARTUP:		        SERVICE WORKER
[09:31:23:358566] SUBSCRIBED TO:	    service-1fa6577ab3354348fe05140435e791bb

[09:31:28:752793] VALID MSG FROM:	    storage-77e740391bc1655b3438ddbb04a06960
[09:31:28:752941] ACTION TRIGGERED:	    storage_handshake
[09:31:29:767642] PUSHED MESSAGE TO:	storage-77e740391bc1655b3438ddbb04a06960
[09:31:29:767761] SUCCESS:		        STORAGE DEVICE CREATED

[09:31:32:121323] VALID MSG FROM:	    edge-c5eef93df4995b963f64eae65e541b86
[09:31:32:121438] ACTION TRIGGERED:	    edge_handshake
[09:31:33:123198] PUSHED MESSAGE TO:	storage-77e740391bc1655b3438ddbb04a06960
[09:31:34:138529] PUSHED MESSAGE TO:	edge-c5eef93df4995b963f64eae65e541b86
[09:31:34:138654] SUCCESS:		        EDGE => STORAGE LINK ESTABLISHED

[09:31:34:139359] VALID MSG FROM:	    iot-3256e45e565478c9381d8fe77137f164
[09:31:34:139446] ACTION TRIGGERED:	    iot_handshake
[09:31:35:141448] PUSHED MESSAGE TO:	edge-c5eef93df4995b963f64eae65e541b86
[09:31:36:157260] PUSHED MESSAGE TO:	iot-3256e45e565478c9381d8fe77137f164
[09:31:36:157374] SUCCESS:              IOT => EDGE LINK ESTABLISHED
